entry_time,exit_time,direction,entry_price,exit_price,pnl,confidence,regime
99,109,long,4046.11,4054.469285714286,835.9285714285761,0.998274564743042,trend_up
133,158,long,4068.7200000000003,4079.417142857143,1069.7142857142808,0.9937217831611633,trend_up
183,191,long,4081.5600000000004,4076.8392857142862,-472.0714285714166,0.9989280104637146,trend_up
215,226,long,4100.13,4093.667142857143,-646.2857142857047,0.9760670065879822,trend_up
250,253,short,4079.25,4086.5807142857143,-733.0714285714294,0.9994503855705261,trend_down
277,282,long,4102.93,4112.000714285715,907.071428571453,0.9784548878669739,trend_up
306,326,long,4111.6900000000005,4117.297857142857,560.7857142856119,0.9908374547958374,trend_up
351,375,long,4132.85,4143.845,1099.499999999989,0.9743115305900574,trend_up
399,401,long,4140.92,4136.5142857142855,-440.57142857145664,0.9734084010124207,trend_up
425,445,long,4129.59,4140.345,1075.500000000011,0.994979202747345,trend_up
469,483,long,4142.16,4138.084285714285,-407.5714285714639,0.9845351576805115,trend_up
507,511,short,4138.9,4125.82,1307.9999999999927,0.9996346235275269,trend_down
535,568,long,4109.05,4118.416428571429,936.6428571428514,0.9977328777313232,trend_up
592,595,long,4130.7,4127.075357142857,-362.4642857143044,0.9552114009857178,trend_up
621,623,long,4141.99,4137.502857142857,-448.7142857143226,0.9950410723686218,trend_up
647,661,short,4120.17,4109.987142857143,1018.2857142856847,0.9980595707893372,trend_down
689,692,short,4112.099999999999,4118.304642857142,-620.4642857142971,0.9743067622184753,trend_down
716,761,short,4128.99,4133.9925,-500.25000000005093,0.9816250205039978,trend_down
785,793,short,4132.389999999999,4140.659285714285,-826.9285714285616,0.955329418182373,trend_down
817,820,long,4202.53,4193.333928571428,-919.6071428571486,0.9663773775100708,trend_up
844,878,long,4195.570000000001,4206.442857142858,1087.2857142857356,0.9868017435073853,trend_up
902,904,long,4195.8,4186.626428571429,-917.3571428571449,0.9719653129577637,trend_up
928,938,long,4203.150000000001,4217.635714285714,1448.5714285713584,0.9986679553985596,trend_up
962,964,long,4210.66,4203.766428571429,-689.3571428570795,0.9942447543144226,trend_up
988,1002,long,4234.74,4227.5882142857145,-715.1785714285325,0.9969381093978882,trend_up
1029,1044,long,4232.25,4242.651428571428,1040.1428571428369,0.9592547416687012,trend_up
1075,1093,long,4190.77,4207.595714285715,1682.571428571464,0.9504441022872925,trend_up
1117,1124,short,4149.389999999999,4164.515357142856,-1512.5357142856956,0.9972658157348633,trend_down
1148,1153,short,4169.34,4176.312857142857,-697.285714285681,0.9985713958740234,trend_down
1179,1188,short,4182.639999999999,4193.007142857142,-1036.7142857142426,0.9672780632972717,trend_down
1214,1218,long,4203.03,4198.543928571428,-448.60714285714494,0.9536615014076233,trend_up
1242,1254,short,4177.98,4160.033571428571,1794.6428571428442,0.9980136156082153,trend_down
1282,1299,short,4170.24,4154.297142857143,1594.2857142857065,0.9861528873443604,trend_down
1323,1328,short,4085.43,4049.6057142857144,3582.428571428545,0.9926982522010803,trend_down
1352,1364,long,4077.8300000000004,4105.567142857143,2773.714285714277,0.9989446997642517,trend_up
1389,1409,short,4096.599999999999,4081.3471428571424,1525.285714285701,0.9750823378562927,trend_down
1436,1444,short,4103.49,4084.8214285714284,1866.857142857134,0.9546365141868591,trend_down
1468,1477,long,4087.7400000000002,4079.322857142857,-841.7142857143062,0.9996127486228943,trend_up
1502,1506,short,4075.77,4063.877142857143,1189.2857142856883,0.9694445729255676,trend_down
1530,1537,long,4079.09,4090.4685714285715,1137.8571428571377,0.9853944778442383,trend_up
1561,1567,long,4086.44,4079.855,-658.5000000000036,0.9976065158843994,trend_up
1591,1598,short,4082.72,4090.3732142857143,-765.3214285714512,0.9826325178146362,trend_down
1622,1634,long,4065.6800000000003,4054.861785714286,-1081.8214285714475,0.9995158910751343,trend_up
1658,1662,long,4074.01,4068.3507142857143,-565.9285714285943,0.9855509996414185,trend_up
1688,1692,short,4026.87,4037.4814285714283,-1061.1428571428405,0.9791494011878967,trend_down
1720,1728,short,4031.3399999999997,4040.523214285714,-918.3214285714257,0.9711810946464539,trend_down
1752,1785,short,4017.45,4023.845357142857,-639.5357142857392,0.998264729976654,trend_down
1810,1819,long,4014.52,4033.8785714285714,1935.8571428571395,0.9894492626190186,trend_up
1846,1858,long,4048.6000000000004,4043.009285714286,-559.0714285714512,0.96413254737854,trend_up
1882,1897,long,4069.07,4056.4282142857146,-1264.178571428556,0.9985032081604004,trend_up
1921,1924,long,4070.9300000000003,4062.329642857143,-860.035714285732,0.9739599823951721,trend_up
1948,1951,long,4079.98,4073.9982142857143,-598.1785714285706,0.9749191403388977,trend_up
1976,1992,long,4067.38,4077.505,1012.5,0.9943075776100159,trend_up
2017,2025,long,4060.42,4074.4021428571427,1398.2142857142662,0.995459258556366,trend_up
2049,2056,long,4075.21,4085.941428571429,1073.142857142875,0.967610239982605,trend_up
2080,2090,long,4088.5,4083.175,-532.4999999999818,0.9993342757225037,trend_up
2118,2138,short,4111.9,4117.357857142857,-545.7857142857392,0.9651873111724854,trend_down
2162,2167,long,4112.02,4102.811071428572,-920.892857142826,0.9597538709640503,trend_up
2191,2212,short,4077.1499999999996,4085.7953571428566,-864.5357142856938,0.9898041486740112,trend_down
2245,2251,short,4073.87,4081.1642857142856,-729.4285714285706,0.996545135974884,trend_down
2278,2287,short,4102.88,4088.5807142857143,1429.9285714285816,0.9798622131347656,trend_down
2315,2319,short,4067.7999999999997,4076.2792857142854,-847.9285714285652,0.9735331535339355,trend_down
2344,2365,short,4069.6699999999996,4052.0707142857136,1759.9285714285998,0.9834998846054077,trend_down
2389,2391,long,4067.63,4059.0585714285717,-857.1428571428442,0.9916681051254272,trend_up
2415,2423,short,4072.3999999999996,4080.3960714285713,-799.6071428571668,0.9643712043762207,trend_down
2447,2450,long,4101.16,4086.855357142857,-1430.464285714288,0.9992203712463379,trend_up
2474,2484,short,4051.2799999999997,4064.345,-1306.5000000000055,0.9821757674217224,trend_down
2512,2516,long,4080.86,4074.6682142857144,-619.1785714285743,0.968877375125885,trend_up
2540,2543,long,4082.17,4074.795357142857,-737.4642857143044,0.9976613521575928,trend_up
2567,2579,long,4072.86,4064.1053571428574,-875.4642857142699,0.994743824005127,trend_up
2613,2616,short,4048.4399999999996,4056.411428571428,-797.1428571428532,0.9675241708755493,trend_down
2640,2644,short,4031.3799999999997,4040.4721428571424,-909.214285714279,0.9781824350357056,trend_down
2668,2671,long,4042.52,4032.785,-973.5000000000127,0.9878636598587036,trend_up
2695,2710,long,4056.05,4075.1,1904.9999999999727,0.9989140033721924,trend_up
2734,2743,short,4065.5299999999997,4074.1924999999997,-866.2499999999909,0.9923694133758545,trend_down
2768,2789,long,4081.34,4074.819285714286,-652.0714285714348,0.9730175137519836,trend_up
2817,2822,long,4070.3300000000004,4062.1775000000002,-815.2500000000146,0.9717156291007996,trend_up
2852,2854,long,4050.0800000000004,4044.562142857143,-551.7857142857338,0.9913648366928101,trend_up
2883,2906,long,4045.8100000000004,4057.304285714286,1149.4285714285525,0.9980242252349854,trend_up
2930,2931,short,4067.93,4073.738214285714,-580.8214285714257,0.9913710355758667,trend_down
2955,2972,long,4066.98,4075.851428571429,887.1428571429078,0.9544253945350647,trend_up
2998,3010,long,4077.9500000000003,4092.838571428572,1488.8571428571595,0.9618627429008484,trend_up
3047,3067,long,4120.39,4130.868571428572,1047.857142857174,0.9902278184890747,trend_up
3094,3104,long,4139.42,4132.8725,-654.7499999999673,0.9742808938026428,trend_up
3129,3136,long,4152.360000000001,4145.21142857143,-714.8571428570904,0.9637438058853149,trend_up
3160,3186,long,4144.070000000001,4138.600357142857,-546.9642857143299,0.9959303736686707,trend_up
3213,3244,long,4128.21,4137.368571428571,915.8571428571122,0.9757633209228516,trend_up
3271,3272,long,4129.08,4119.669642857142,-941.035714285772,0.9817110300064087,trend_up
3300,3306,long,4136.58,4152.165000000001,1558.5000000000946,0.9919772744178772,trend_up
3332,3364,long,4130.25,4136.884285714285,663.4285714285397,0.9662241339683533,trend_up
3392,3400,short,4148.88,4154.155714285715,-527.5714285714457,0.9960773587226868,trend_down
3424,3426,long,4161.37,4157.171071428571,-419.8928571428951,0.9994106292724609,trend_up
3450,3470,short,4157.99,4163.064285714286,-507.42857142859066,0.9880319833755493,trend_down
3502,3508,short,4157.16,4161.845357142857,-468.5357142857356,0.9691229462623596,trend_down
3535,3542,short,4159.69,4142.459285714285,1723.0714285714384,0.9904139637947083,trend_down
3566,3590,long,4163.34,4170.192857142857,685.2857142856919,0.998235821723938,trend_up
3641,3642,long,4167.59,4164.1507142857145,-343.92857142856883,0.9680965542793274,trend_up
3669,3698,short,4152.08,4144.299285714285,778.0714285714566,0.9646918177604675,trend_down
3722,3736,long,4151.9800000000005,4161.350714285715,937.0714285714712,0.9706047773361206,trend_up
3769,3788,short,4157.47,4160.658571428572,-318.8571428571777,0.9961691498756409,trend_down
3814,3820,short,4154.4,4158.552857142857,-415.2857142857101,0.992387056350708,trend_down
3846,3866,long,4154.62,4158.222142857143,360.2142857143008,0.9748324751853943,trend_up
3896,3897,long,4156.650000000001,4156.485000000001,-16.499999999996362,0.9649651646614075,trend_up
3921,3925,short,4163.0599999999995,4165.935714285713,-287.57142857139115,0.9962592124938965,trend_down
3949,3962,long,4189.0,4184.836428571429,-416.3571428571231,0.9993669390678406,trend_up
3991,4004,short,4185.0,4187.308928571429,-230.89285714286234,0.9909666776657104,trend_down
4028,4045,short,4166.76,4173.951428571429,-719.1428571428332,0.9936085939407349,trend_down
4069,4083,short,4176.59,4169.334285714286,725.5714285714021,0.9648052453994751,trend_down
4107,4115,long,4190.18,4205.055714285714,1487.5714285713912,0.9703623652458191,trend_up
4139,4140,long,4217.4400000000005,4211.908214285715,-553.1785714285434,0.996504545211792,trend_up
4166,4177,short,4222.75,4229.123928571429,-637.3928571429133,0.9640124440193176,trend_down
4201,4210,long,4241.54,4234.13,-740.9999999999854,0.9561727643013,trend_up
4234,4235,long,4233.02,4226.826071428572,-619.3928571428842,0.9904030561447144,trend_up
4259,4267,long,4234.93,4246.261428571429,1133.142857142866,0.9992295503616333,trend_up
4291,4294,long,4250.25,4261.8,1155.0000000000182,0.9701055884361267,trend_up
4320,4323,short,4248.19,4254.268214285714,-607.8214285714239,0.9754855632781982,trend_down
4353,4434,short,4239.46,4231.732857142857,772.7142857143008,0.9590639472007751,trend_down
4458,4460,long,4225.88,4219.862857142857,-601.7142857142971,0.9808017611503601,trend_up
4484,4493,long,4223.58,4218.761785714286,-481.82142857140207,0.9988288283348083,trend_up
4517,4524,short,4222.2,4211.845714285714,1035.4285714285652,0.9976733326911926,trend_down
4552,4557,long,4212.83,4207.195357142857,-563.4642857143263,0.9877372980117798,trend_up
4581,4587,long,4188.95,4199.747857142856,1079.7857142856628,0.9663020372390747,trend_up
4616,4619,short,4216.33,4223.516071428571,-718.6071428571267,0.967566967010498,trend_down
4643,4647,short,4176.76,4188.011071428572,-1125.1071428571777,0.9568884968757629,trend_down
4675,4694,long,4191.1,4200.961428571428,986.1428571427496,0.9780329465866089,trend_up
4718,4737,long,4208.26,4219.915000000001,1165.5000000000655,0.9922439455986023,trend_up
4761,4790,short,4222.32,4215.263571428571,705.6428571429024,0.9737793803215027,trend_down
4814,4833,long,4203.35,4198.691428571429,-465.8571428571122,0.9892521500587463,trend_up
4857,4867,long,4199.26,4206.862857142858,760.2857142857829,0.9577304720878601,trend_up
4896,4902,long,4225.03,4211.497857142856,-1353.21428571433,0.9702697992324829,trend_up
4927,4930,short,4200.72,4209.468214285715,-874.8214285714312,0.9680936336517334,trend_down
4959,4975,long,4208.72,4205.2185714285715,-350.14285714287325,0.9628375172615051,trend_up
4999,4999,short,4206.889999999999,4207.19,-30.00000000001819,0.9986611604690552,trend_down
